"","Target","ChoiceOption","ClipNumber","PID","condType","percent.chosen","Speaker","Recipient","dyad","recent.similarity"
"202","Alicia","Amber",4,33,"Win",0.2,"Alicia","Amber","AliciaAmber",0.081375726
"203","Alicia","Amber",4,34,"Rival",0.75,"Alicia","Amber","AliciaAmber",0.081375726
"204","Alicia","Amber",4,35,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.081375726
"205","Alicia","Amber",4,36,"Friend",0.2,"Alicia","Amber","AliciaAmber",0.081375726
"206","Alicia","Amber",4,37,"Friend",0.2,"Alicia","Amber","AliciaAmber",0.081375726
"207","Alicia","Amber",4,39,"Rival",0.5,"Alicia","Amber","AliciaAmber",0.081375726
"208","Alicia","Amber",4,40,"Win",0.4,"Alicia","Amber","AliciaAmber",0.081375726
"209","Alicia","Amber",4,41,"Rival",0.8,"Alicia","Amber","AliciaAmber",0.081375726
"210","Alicia","Amber",4,42,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.081375726
"211","Alicia","Amber",4,43,"Friend",0,"Alicia","Amber","AliciaAmber",0.081375726
"212","Alicia","Amber",4,44,"Win",0.4,"Alicia","Amber","AliciaAmber",0.081375726
"213","Alicia","Amber",4,45,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"214","Alicia","Amber",4,46,"Win",0.2,"Alicia","Amber","AliciaAmber",0.081375726
"215","Alicia","Amber",4,47,"Win",0.333333333333333,"Alicia","Amber","AliciaAmber",0.081375726
"216","Alicia","Amber",4,48,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"217","Alicia","Amber",4,49,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.081375726
"218","Alicia","Amber",4,50,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.081375726
"219","Alicia","Amber",4,51,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"220","Alicia","Amber",4,52,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.081375726
"221","Alicia","Amber",4,53,"Win",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"222","Alicia","Amber",4,54,"Rival",1,"Alicia","Amber","AliciaAmber",0.081375726
"223","Alicia","Amber",4,55,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"224","Alicia","Amber",4,56,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.081375726
"225","Alicia","Amber",4,57,"Win",0.8,"Alicia","Amber","AliciaAmber",0.081375726
"226","Alicia","Amber",4,58,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.081375726
"227","Alicia","Amber",4,59,"Friend",0.25,"Alicia","Amber","AliciaAmber",0.081375726
"228","Alicia","Amber",4,60,"Win",0.6,"Alicia","Amber","AliciaAmber",0.081375726
"229","Alicia","Amber",5,1,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.53079426
"230","Alicia","Amber",5,2,"Friend",1,"Alicia","Amber","AliciaAmber",0.53079426
"231","Alicia","Amber",5,3,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.53079426
"232","Alicia","Amber",5,4,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.53079426
"233","Alicia","Amber",5,5,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.53079426
"234","Alicia","Amber",5,6,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.53079426
"235","Alicia","Amber",5,7,"Friend",0.75,"Alicia","Amber","AliciaAmber",0.53079426
"236","Alicia","Amber",5,8,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.53079426
"237","Alicia","Amber",5,9,"Win",0.4,"Alicia","Amber","AliciaAmber",0.53079426
"238","Alicia","Amber",5,10,"Friend",0.5,"Alicia","Amber","AliciaAmber",0.53079426
"239","Alicia","Amber",5,11,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.53079426
"240","Alicia","Amber",5,12,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.53079426
